"LCC","BLY","Boley Park",NULL,"20190503","2953",NULL,"3","3174"
"LCC","BOW","Burton Old Road",NULL,"20190503","894",NULL,"1","456"
"LCC","CHD","Chadsmead",NULL,"20190503","3059",NULL,"4","6204"
"LCC","CUR","Curborough",NULL,"20190503","3350",NULL,"3","1904"
"LCC","GRK","Garrick Road",NULL,"20190503","308",NULL,"1","158"
"SCC","LCN","Lichfield City North",NULL,"20170504","10270",NULL,"1","5831"
"SCC","LCS","Lichfield City South",NULL,"20170504","10453",NULL,"1","5824"
"LCC","LEO","Leomansley",NULL,"20190503","5259",NULL,"5","4634"
"SCC","LRN","Lichfield Rural North",NULL,"2017",NULL,NULL,"1","2043"
"LCC","PTR","Pentire Road",NULL,"20190503","496",NULL,"1","239"
"LCC","STJ","St Johns",NULL,"20190503","4603",NULL,"6","5998"
"LCC","STW","Stowe",NULL,"20190503","4101",NULL,"4","3776"
